player1_name,player1_age,player1_height,player1_ranking_points,player1_elo,winner_hand_1,winner_hand_2,player1_wins,player1_losses,player1_total_games,player1_W/total_games,player1_Wins_per_surface,player1_Losses_per_surface,player1_total_games_per_surface,player1_W/total_games_per_surface,player1_won_h2h,player2_name,player2_age,player2_height,player2_ranking_points,player2_elo,loser_hand_1,loser_hand_2,player2_wins,player2_losses,player2_total_games,player2_W/total_games,player2_Wins_per_surface,player2_Losses_per_surface,player2_total_games_per_surface,player2_W/total_games_per_surface,player2_won_h2h,games_h2h,player1_winrate,surface_1,surface_2,draw_size_1,draw_size_2,draw_size_3,draw_size_4,draw_size_5,best_of_3,round_1,round_2,round_3,round_4,round_5,round_6,round_7,outcome
Lukas Rosol,34.6064339493,196.0,285.0,1535.4968801029265,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,0,Andrej Martin,30.4476386037,180.0,629.0,1553.617100699813,0.0,1.0,3.0,4.0,7.0,42.857142857142854,3.0,4.0,7.0,42.857142857142854,0,0,,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
Philipp Kohlschreiber,36.3778234086,178.0,729.0,1643.8109860066565,0.0,1.0,4.0,4.0,8.0,50.0,4.0,4.0,8.0,50.0,0,Egor Gerasimov,27.3045859001,,744.0,1735.0713550209607,0.0,1.0,7.0,3.0,10.0,70.0,7.0,3.0,10.0,70.0,0,0,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Roberto Quiroz,28.0219028063,,163.0,1509.8273619179956,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0,Yasutaka Uchiyama,27.572895277199997,,669.0,1513.3204641996908,0.0,1.0,1.0,5.0,6.0,16.666666666666668,1.0,5.0,6.0,16.666666666666668,0,0,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
Tallon Griekspoor,23.665982204000002,,256.0,1494.158750989311,0.0,1.0,0.0,3.0,3.0,0.0,0.0,3.0,3.0,0.0,0,Alexander Bublik,22.7077344285,,965.0,1673.4070119597345,0.0,1.0,9.0,8.0,17.0,52.94117647058823,9.0,8.0,17.0,52.94117647058823,0,0,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Alejandro Tabilo,22.7488021903,,290.0,1515.4139402878634,1.0,0.0,2.0,2.0,4.0,50.0,1.0,1.0,2.0,50.0,0,Elias Ymer,23.893223819299998,,247.0,1383.154979088102,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0,0,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
Sanjar Fayziev,25.5934291581,,59.0,1392.201510797926,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0,Taylor Fritz,22.3436002738,,1510.0,1723.3993120556868,0.0,0.0,8.0,7.0,15.0,53.333333333333336,8.0,7.0,15.0,53.333333333333336,0,0,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Lloyd Harris,23.017111567399997,,616.0,1620.7500355416505,0.0,1.0,5.0,5.0,10.0,50.0,5.0,5.0,10.0,50.0,0,Mirza Basic,28.6406570842,,134.0,1519.5399631328883,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0,0,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
Federico Zeballos,31.7563312799,,50.0,1454.2040246193046,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0,Roberto Cid,26.5051334702,,229.0,1408.0727735560088,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0,0,,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Wishaya Trongcharoenchaikul,24.900752909,,35.0,1565.2386345713162,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0,Hasan Ibrahim,24.542094455900003,,2.0,1500.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0,0,,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
Julius Tverijonas,25.7166324435,,19.0,1449.5438911030396,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0,Joao Sousa,30.9240246407,185.0,776.0,1545.049229041886,0.0,1.0,0.0,5.0,5.0,0.0,0.0,5.0,5.0,0.0,0,0,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Gerardo Lopez Villasenor,24.8076659822,,54.0,1451.300041088422,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,0,Otto Virtanen,18.6967830253,,24.0,1500.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0,0,,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
Haydn Lewis,34.162902121799995,,,1410.5437894698787,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0,Casper Ruud,21.193702943199998,,1279.0,1680.6741318972047,1.0,0.0,10.0,5.0,15.0,66.66666666666667,2.0,3.0,5.0,40.0,0,0,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Aqeel Khan,40.0876112252,,,1564.4140033842882,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0,Blaz Kavcic,32.9938398357,188.0,148.0,1419.9763886402322,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0,0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
