Wins,Losses,total_games,W/total_games,Wins_per_surface,Losses_per_surface,total_games_per_surface,W/total_games_per_surface,player_name,winner,loser,tourney name
6,1,7,85.71428571428571,6,1,7,85.71428571428571,Rafael Nadal,Rafael Nadal,Jannik Sinner,Roland Garros
7,3,10,70.0,7,2,9,77.77777777777777,Jannik Sinner,Rafael Nadal,Jannik Sinner,Roland Garros
18,1,19,94.73684210526316,10,0,10,100.0,Novak Djokovic,Novak Djokovic,Stefanos Tsitsipas,Roland Garros
14,4,18,77.77777777777777,9,2,11,81.81818181818181,Stefanos Tsitsipas,Novak Djokovic,Stefanos Tsitsipas,Roland Garros
7,1,8,87.5,7,1,8,87.5,Rafael Nadal,Rafael Nadal,Diego Schwartzman,Roland Garros
11,4,15,73.33333333333333,10,2,12,83.33333333333333,Diego Schwartzman,Rafael Nadal,Diego Schwartzman,Roland Garros
8,1,9,88.88888888888889,8,1,9,88.88888888888889,Rafael Nadal,Rafael Nadal,Novak Djokovic,Roland Garros
19,1,20,95.0,11,0,11,100.0,Novak Djokovic,Rafael Nadal,Novak Djokovic,Roland Garros
10,4,14,71.42857142857143,5,2,7,71.42857142857143,Denis Shapovalov,Denis Shapovalov,Viktor Troicki,St Petersburg
0,0,0,,0,0,0,,Viktor Troicki,Denis Shapovalov,Viktor Troicki,St Petersburg
1,3,4,25.0,1,1,2,50.0,Gilles Simon,Gilles Simon,Marton Fucsovics,Cologne 1
7,3,10,70.0,4,2,6,66.66666666666667,Marton Fucsovics,Gilles Simon,Marton Fucsovics,Cologne 1
3,3,6,50.0,3,2,5,60.0,Laslo Djere,Laslo Djere,Sumit Nagal,Sardinia
1,1,2,50.0,0,0,0,,Sumit Nagal,Laslo Djere,Sumit Nagal,Sardinia
0,0,0,,0,0,0,,Ilya Ivashka,Ilya Ivashka,Adrian Mannarino,St Petersburg
2,5,7,28.571428571428573,2,2,4,50.0,Adrian Mannarino,Ilya Ivashka,Adrian Mannarino,St Petersburg
0,0,0,,0,0,0,,Mischa Zverev,Mischa Zverev,John Millman,Cologne 1
3,5,8,37.5,2,2,4,50.0,John Millman,Mischa Zverev,John Millman,Cologne 1
2,3,5,40.0,2,2,4,50.0,Jiri Vesely,Jiri Vesely,Kamil Majchrzak,Sardinia
0,2,2,0.0,0,1,1,0.0,Kamil Majchrzak,Jiri Vesely,Kamil Majchrzak,Sardinia
0,1,1,0.0,0,1,1,0.0,Evgeny Donskoy,Evgeny Donskoy,Egor Gerasimov,St Petersburg
1,2,3,33.333333333333336,1,1,2,50.0,Egor Gerasimov,Evgeny Donskoy,Egor Gerasimov,St Petersburg
4,5,9,44.44444444444444,1,2,3,33.333333333333336,Hubert Hurkacz,Hubert Hurkacz,Marc Polmans,Cologne 1
1,2,3,33.333333333333336,0,1,1,0.0,Marc Polmans,Hubert Hurkacz,Marc Polmans,Cologne 1
4,5,9,44.44444444444444,4,3,7,57.142857142857146,Lorenzo Sonego,Lorenzo Sonego,Giulio Zeppieri,Sardinia
0,0,0,,0,0,0,,Giulio Zeppieri,Lorenzo Sonego,Giulio Zeppieri,Sardinia
2,2,4,50.0,0,0,0,,Stan Wawrinka,Stan Wawrinka,Daniel Evans,St Petersburg
2,5,7,28.571428571428573,2,2,4,50.0,Daniel Evans,Stan Wawrinka,Daniel Evans,St Petersburg
14,4,18,77.77777777777777,4,2,6,66.66666666666667,Andrey Rublev,Andrey Rublev,Vasek Pospisil,St Petersburg
3,2,5,60.0,3,1,4,75.0,Vasek Pospisil,Andrey Rublev,Vasek Pospisil,St Petersburg
0,1,1,0.0,0,0,0,,Henri Laaksonen,Henri Laaksonen,Daniel Altmaier,Cologne 1
3,1,4,75.0,0,0,0,,Daniel Altmaier,Henri Laaksonen,Daniel Altmaier,Cologne 1
5,2,7,71.42857142857143,5,2,7,71.42857142857143,Yannick Hanfmann,Yannick Hanfmann,Salvatore Caruso,Sardinia
3,4,7,42.857142857142854,1,2,3,33.333333333333336,Salvatore Caruso,Yannick Hanfmann,Salvatore Caruso,Sardinia
5,5,10,50.0,1,2,3,33.333333333333336,Ugo Humbert,Ugo Humbert,Pavel Kotov,St Petersburg
0,0,0,,0,0,0,,Pavel Kotov,Ugo Humbert,Pavel Kotov,St Petersburg
1,3,4,25.0,0,1,1,0.0,Radu Albot,Radu Albot,Pierre Hugues Herbert,Cologne 1
1,2,3,33.333333333333336,0,0,0,,Pierre Hugues Herbert,Radu Albot,Pierre Hugues Herbert,Cologne 1
0,0,0,,0,0,0,,Andrea Pellegrino,Andrea Pellegrino,Stefano Travaglia,Sardinia
4,3,7,57.142857142857146,4,2,6,66.66666666666667,Stefano Travaglia,Andrea Pellegrino,Stefano Travaglia,Sardinia
6,3,9,66.66666666666667,1,1,2,50.0,Miomir Kecmanovic,Miomir Kecmanovic,Mikhail Kukushkin,St Petersburg
3,2,5,60.0,2,1,3,66.66666666666667,Mikhail Kukushkin,Miomir Kecmanovic,Mikhail Kukushkin,St Petersburg
0,0,0,,0,0,0,,Oscar Otte,Oscar Otte,Jan Lennard Struff,Cologne 1
6,5,11,54.54545454545455,5,2,7,71.42857142857143,Jan Lennard Struff,Oscar Otte,Jan Lennard Struff,Cologne 1
2,1,3,66.66666666666667,2,1,3,66.66666666666667,Lorenzo Musetti,Lorenzo Musetti,Pablo Cuevas,Sardinia
2,3,5,40.0,2,2,4,50.0,Pablo Cuevas,Lorenzo Musetti,Pablo Cuevas,Sardinia
2,3,5,40.0,2,2,4,50.0,Cameron Norrie,Cameron Norrie,Taylor Fritz,St Petersburg
5,5,10,50.0,3,2,5,60.0,Taylor Fritz,Cameron Norrie,Taylor Fritz,St Petersburg
4,4,8,50.0,2,2,4,50.0,Marin Cilic,Marin Cilic,Marcos Giron,Cologne 1
3,3,6,50.0,2,2,4,50.0,Marcos Giron,Marin Cilic,Marcos Giron,Cologne 1
2,4,6,33.333333333333336,2,2,4,50.0,Tommy Paul,Tommy Paul,Andrej Martin,Sardinia
1,2,3,33.333333333333336,1,1,2,50.0,Andrej Martin,Tommy Paul,Andrej Martin,Sardinia
7,3,10,70.0,6,2,8,75.0,Milos Raonic,Milos Raonic,J.J. Wolf,St Petersburg
2,2,4,50.0,2,2,4,50.0,J.J. Wolf,Milos Raonic,J.J. Wolf,St Petersburg
4,3,7,57.142857142857146,3,1,4,75.0,Alejandro Davidovich Fokina,Alejandro Davidovich Fokina,Emil Ruusuvuori,Cologne 1
2,4,6,33.333333333333336,2,2,4,50.0,Emil Ruusuvuori,Alejandro Davidovich Fokina,Emil Ruusuvuori,Cologne 1
3,3,6,50.0,3,2,5,60.0,Marco Cecchinato,Marco Cecchinato,Gianluca Mager,Sardinia
0,3,3,0.0,0,2,2,0.0,Gianluca Mager,Marco Cecchinato,Gianluca Mager,Sardinia
3,6,9,33.333333333333336,0,2,2,0.0,Alexander Bublik,Alexander Bublik,Mackenzie McDonald,St Petersburg
1,3,4,25.0,0,2,2,0.0,Mackenzie McDonald,Alexander Bublik,Mackenzie McDonald,St Petersburg
0,3,3,0.0,0,1,1,0.0,Dennis Novak,Dennis Novak,Jordan Thompson,Cologne 1
4,3,7,57.142857142857146,3,1,4,75.0,Jordan Thompson,Dennis Novak,Jordan Thompson,Cologne 1
2,2,4,50.0,0,1,1,0.0,Corentin Moutet,Corentin Moutet,Frances Tiafoe,Sardinia
3,3,6,50.0,0,1,1,0.0,Frances Tiafoe,Corentin Moutet,Frances Tiafoe,Sardinia
0,0,0,,0,0,0,,Aslan Karatsev,Aslan Karatsev,Tennys Sandgren,St Petersburg
3,5,8,37.5,2,2,4,50.0,Tennys Sandgren,Aslan Karatsev,Tennys Sandgren,St Petersburg
8,5,13,61.53846153846154,4,2,6,66.66666666666667,Karen Khachanov,Karen Khachanov,James Duckworth,St Petersburg
0,2,2,0.0,0,1,1,0.0,James Duckworth,Karen Khachanov,James Duckworth,St Petersburg
1,2,3,33.333333333333336,1,1,2,50.0,Steve Johnson,Steve Johnson,Filip Krajinovic,Cologne 1
7,4,11,63.63636363636363,5,2,7,71.42857142857143,Filip Krajinovic,Steve Johnson,Filip Krajinovic,Cologne 1
0,2,2,0.0,0,1,1,0.0,Pablo Andujar,Pablo Andujar,Jozef Kovalik,Sardinia
0,1,1,0.0,0,0,0,,Jozef Kovalik,Pablo Andujar,Jozef Kovalik,Sardinia
6,4,10,60.0,5,2,7,71.42857142857143,Borna Coric,Borna Coric,Feliciano Lopez,St Petersburg
2,3,5,40.0,0,1,1,0.0,Feliciano Lopez,Borna Coric,Feliciano Lopez,St Petersburg
2,3,5,40.0,1,2,3,33.333333333333336,Lloyd Harris,Lloyd Harris,Kyle Edmund,Cologne 1
1,3,4,25.0,1,2,3,33.333333333333336,Kyle Edmund,Lloyd Harris,Kyle Edmund,Cologne 1
2,3,5,40.0,2,2,4,50.0,Federico Delbonis,Federico Delbonis,Andreas Seppi,Sardinia
0,2,2,0.0,0,1,1,0.0,Andreas Seppi,Federico Delbonis,Andreas Seppi,Sardinia
0,0,0,,0,0,0,,Roman Safiullin,Roman Safiullin,Emilio Gomez,St Petersburg
0,1,1,0.0,0,0,0,,Emilio Gomez,Roman Safiullin,Emilio Gomez,St Petersburg
0,0,0,,0,0,0,,Fernando Verdasco,Fernando Verdasco,Andy Murray,Cologne 1
3,3,6,50.0,3,2,5,60.0,Andy Murray,Fernando Verdasco,Andy Murray,Cologne 1
3,2,5,60.0,2,1,3,66.66666666666667,Roberto Carballes Baena,Roberto Carballes Baena,Federico Coria,Sardinia
4,3,7,57.142857142857146,3,2,5,60.0,Federico Coria,Roberto Carballes Baena,Federico Coria,Sardinia
3,3,6,50.0,3,2,5,60.0,Reilly Opelka,Reilly Opelka,Nino Serdarusic,St Petersburg
0,0,0,,0,0,0,,Nino Serdarusic,Reilly Opelka,Nino Serdarusic,St Petersburg
7,4,11,63.63636363636363,7,2,9,77.77777777777777,Daniil Medvedev,Daniil Medvedev,Richard Gasquet,St Petersburg
2,3,5,40.0,2,2,4,50.0,Richard Gasquet,Daniil Medvedev,Richard Gasquet,St Petersburg
9,4,13,69.23076923076923,5,2,7,71.42857142857143,Roberto Bautista Agut,Roberto Bautista Agut,Gilles Simon,Cologne 1
2,3,5,40.0,2,1,3,66.66666666666667,Gilles Simon,Roberto Bautista Agut,Gilles Simon,Cologne 1
4,3,7,57.142857142857146,4,2,6,66.66666666666667,Laslo Djere,Laslo Djere,Dusan Lajovic,Sardinia
5,6,11,45.45454545454545,5,4,9,55.55555555555556,Dusan Lajovic,Laslo Djere,Dusan Lajovic,Sardinia
11,4,15,73.33333333333333,6,2,8,75.0,Denis Shapovalov,Denis Shapovalov,Ilya Ivashka,St Petersburg
1,0,1,100.0,1,0,1,100.0,Ilya Ivashka,Denis Shapovalov,Ilya Ivashka,St Petersburg
5,5,10,50.0,2,2,4,50.0,Hubert Hurkacz,Hubert Hurkacz,Mischa Zverev,Cologne 1
1,0,1,100.0,1,0,1,100.0,Mischa Zverev,Hubert Hurkacz,Mischa Zverev,Cologne 1
3,3,6,50.0,3,2,5,60.0,Jiri Vesely,Jiri Vesely,Lorenzo Sonego,Sardinia
5,5,10,50.0,5,3,8,62.5,Lorenzo Sonego,Jiri Vesely,Lorenzo Sonego,Sardinia
3,2,5,60.0,1,0,1,100.0,Stan Wawrinka,Stan Wawrinka,Evgeny Donskoy,St Petersburg
1,1,2,50.0,1,1,2,50.0,Evgeny Donskoy,Stan Wawrinka,Evgeny Donskoy,St Petersburg
5,5,10,50.0,4,2,6,66.66666666666667,Felix Auger Aliassime,Felix Auger Aliassime,Henri Laaksonen,Cologne 1
1,1,2,50.0,1,0,1,100.0,Henri Laaksonen,Felix Auger Aliassime,Henri Laaksonen,Cologne 1
6,2,8,75.0,6,2,8,75.0,Yannick Hanfmann,Yannick Hanfmann,Casper Ruud,Sardinia
11,5,16,68.75,9,3,12,75.0,Casper Ruud,Yannick Hanfmann,Casper Ruud,Sardinia
15,4,19,78.94736842105263,5,2,7,71.42857142857143,Andrey Rublev,Andrey Rublev,Ugo Humbert,St Petersburg
6,5,11,54.54545454545455,2,2,4,50.0,Ugo Humbert,Andrey Rublev,Ugo Humbert,St Petersburg
2,3,5,40.0,1,1,2,50.0,Radu Albot,Radu Albot,Oscar Otte,Cologne 1
1,0,1,100.0,1,0,1,100.0,Oscar Otte,Radu Albot,Oscar Otte,Cologne 1
3,1,4,75.0,3,1,4,75.0,Lorenzo Musetti,Lorenzo Musetti,Andrea Pellegrino,Sardinia
1,0,1,100.0,1,0,1,100.0,Andrea Pellegrino,Lorenzo Musetti,Andrea Pellegrino,Sardinia
3,3,6,50.0,3,2,5,60.0,Cameron Norrie,Cameron Norrie,Miomir Kecmanovic,St Petersburg
7,3,10,70.0,2,1,3,66.66666666666667,Miomir Kecmanovic,Cameron Norrie,Miomir Kecmanovic,St Petersburg
5,3,8,62.5,4,1,5,80.0,Alejandro Davidovich Fokina,Alejandro Davidovich Fokina,Marin Cilic,Cologne 1
5,4,9,55.55555555555556,3,2,5,60.0,Marin Cilic,Alejandro Davidovich Fokina,Marin Cilic,Cologne 1
4,3,7,57.142857142857146,4,2,6,66.66666666666667,Marco Cecchinato,Marco Cecchinato,Tommy Paul,Sardinia
3,4,7,42.857142857142854,3,2,5,60.0,Tommy Paul,Marco Cecchinato,Tommy Paul,Sardinia
8,3,11,72.72727272727273,7,2,9,77.77777777777777,Milos Raonic,Milos Raonic,Alexander Bublik,St Petersburg
4,6,10,40.0,1,2,3,33.333333333333336,Alexander Bublik,Milos Raonic,Alexander Bublik,St Petersburg
1,3,4,25.0,1,1,2,50.0,Dennis Novak,Dennis Novak,Benoit Paire,Cologne 1
1,4,5,20.0,0,1,1,0.0,Benoit Paire,Dennis Novak,Benoit Paire,Cologne 1
1,5,6,16.666666666666668,1,4,5,20.0,Albert Ramos,Albert Ramos,Corentin Moutet,Sardinia
3,2,5,60.0,1,1,2,50.0,Corentin Moutet,Albert Ramos,Corentin Moutet,Sardinia
9,5,14,64.28571428571429,5,2,7,71.42857142857143,Karen Khachanov,Karen Khachanov,Aslan Karatsev,St Petersburg
1,0,1,100.0,1,0,1,100.0,Aslan Karatsev,Karen Khachanov,Aslan Karatsev,St Petersburg
3,3,6,50.0,2,2,4,50.0,Lloyd Harris,Lloyd Harris,Steve Johnson,Cologne 1
2,2,4,50.0,2,1,3,66.66666666666667,Steve Johnson,Lloyd Harris,Steve Johnson,Cologne 1
3,3,6,50.0,3,2,5,60.0,Federico Delbonis,Federico Delbonis,Pablo Andujar,Sardinia
1,2,3,33.333333333333336,1,1,2,50.0,Pablo Andujar,Federico Delbonis,Pablo Andujar,Sardinia
7,4,11,63.63636363636363,6,2,8,75.0,Borna Coric,Borna Coric,Roman Safiullin,St Petersburg
1,0,1,100.0,1,0,1,100.0,Roman Safiullin,Borna Coric,Roman Safiullin,St Petersburg
9,3,12,75.0,6,2,8,75.0,Alexander Zverev,Alexander Zverev,Fernando Verdasco,Cologne 1
1,0,1,100.0,1,0,1,100.0,Fernando Verdasco,Alexander Zverev,Fernando Verdasco,Cologne 1
0,0,0,,0,0,0,,Danilo Petrovic,Danilo Petrovic,Roberto Carballes Baena,Sardinia
4,2,6,66.66666666666667,3,1,4,75.0,Roberto Carballes Baena,Danilo Petrovic,Roberto Carballes Baena,Sardinia
4,3,7,57.142857142857146,4,2,6,66.66666666666667,Reilly Opelka,Reilly Opelka,Daniil Medvedev,St Petersburg
8,4,12,66.66666666666667,8,2,10,80.0,Daniil Medvedev,Reilly Opelka,Daniil Medvedev,St Petersburg
10,4,14,71.42857142857143,6,2,8,75.0,Roberto Bautista Agut,Roberto Bautista Agut,Hubert Hurkacz,Cologne 1
6,5,11,54.54545454545455,3,2,5,60.0,Hubert Hurkacz,Roberto Bautista Agut,Hubert Hurkacz,Cologne 1
5,3,8,62.5,5,2,7,71.42857142857143,Laslo Djere,Laslo Djere,Jiri Vesely,Sardinia
4,3,7,57.142857142857146,4,2,6,66.66666666666667,Jiri Vesely,Laslo Djere,Jiri Vesely,Sardinia
12,4,16,75.0,7,2,9,77.77777777777777,Denis Shapovalov,Denis Shapovalov,Stan Wawrinka,St Petersburg
4,2,6,66.66666666666667,2,0,2,100.0,Stan Wawrinka,Denis Shapovalov,Stan Wawrinka,St Petersburg
6,5,11,54.54545454545455,5,2,7,71.42857142857143,Felix Auger Aliassime,Felix Auger Aliassime,Radu Albot,Cologne 1
3,3,6,50.0,2,1,3,66.66666666666667,Radu Albot,Felix Auger Aliassime,Radu Albot,Cologne 1
4,1,5,80.0,4,1,5,80.0,Lorenzo Musetti,Lorenzo Musetti,Yannick Hanfmann,Sardinia
7,2,9,77.77777777777777,7,2,9,77.77777777777777,Yannick Hanfmann,Lorenzo Musetti,Yannick Hanfmann,Sardinia
16,4,20,80.0,6,2,8,75.0,Andrey Rublev,Andrey Rublev,Cameron Norrie,St Petersburg
4,3,7,57.142857142857146,4,2,6,66.66666666666667,Cameron Norrie,Andrey Rublev,Cameron Norrie,St Petersburg
6,3,9,66.66666666666667,5,1,6,83.33333333333333,Alejandro Davidovich Fokina,Alejandro Davidovich Fokina,Dennis Novak,Cologne 1
2,3,5,40.0,2,1,3,66.66666666666667,Dennis Novak,Alejandro Davidovich Fokina,Dennis Novak,Cologne 1
5,3,8,62.5,5,2,7,71.42857142857143,Marco Cecchinato,Marco Cecchinato,Albert Ramos,Sardinia
2,5,7,28.571428571428573,2,4,6,33.333333333333336,Albert Ramos,Marco Cecchinato,Albert Ramos,Sardinia
9,3,12,75.0,8,2,10,80.0,Milos Raonic,Milos Raonic,Karen Khachanov,St Petersburg
10,5,15,66.66666666666667,6,2,8,75.0,Karen Khachanov,Milos Raonic,Karen Khachanov,St Petersburg
10,3,13,76.92307692307692,7,2,9,77.77777777777777,Alexander Zverev,Alexander Zverev,Lloyd Harris,Cologne 1
4,3,7,57.142857142857146,3,2,5,60.0,Lloyd Harris,Alexander Zverev,Lloyd Harris,Cologne 1
1,0,1,100.0,1,0,1,100.0,Danilo Petrovic,Danilo Petrovic,Federico Delbonis,Sardinia
4,3,7,57.142857142857146,4,2,6,66.66666666666667,Federico Delbonis,Danilo Petrovic,Federico Delbonis,Sardinia
8,4,12,66.66666666666667,7,2,9,77.77777777777777,Borna Coric,Borna Coric,Reilly Opelka,St Petersburg
5,3,8,62.5,5,2,7,71.42857142857143,Reilly Opelka,Borna Coric,Reilly Opelka,St Petersburg
7,5,12,58.333333333333336,6,2,8,75.0,Felix Auger Aliassime,Felix Auger Aliassime,Roberto Bautista Agut,Cologne 1
11,4,15,73.33333333333333,7,2,9,77.77777777777777,Roberto Bautista Agut,Felix Auger Aliassime,Roberto Bautista Agut,Cologne 1
6,3,9,66.66666666666667,6,2,8,75.0,Laslo Djere,Laslo Djere,Lorenzo Musetti,Sardinia
5,1,6,83.33333333333333,5,1,6,83.33333333333333,Lorenzo Musetti,Laslo Djere,Lorenzo Musetti,Sardinia
17,4,21,80.95238095238095,7,2,9,77.77777777777777,Andrey Rublev,Andrey Rublev,Denis Shapovalov,St Petersburg
13,4,17,76.47058823529412,8,2,10,80.0,Denis Shapovalov,Andrey Rublev,Denis Shapovalov,St Petersburg
11,3,14,78.57142857142857,8,2,10,80.0,Alexander Zverev,Alexander Zverev,Alejandro Davidovich Fokina,Cologne 1
7,3,10,70.0,6,1,7,85.71428571428571,Alejandro Davidovich Fokina,Alexander Zverev,Alejandro Davidovich Fokina,Cologne 1
6,3,9,66.66666666666667,6,2,8,75.0,Marco Cecchinato,Marco Cecchinato,Danilo Petrovic,Sardinia
2,0,2,100.0,2,0,2,100.0,Danilo Petrovic,Marco Cecchinato,Danilo Petrovic,Sardinia
9,4,13,69.23076923076923,8,2,10,80.0,Borna Coric,Borna Coric,Milos Raonic,St Petersburg
10,3,13,76.92307692307692,9,2,11,81.81818181818181,Milos Raonic,Borna Coric,Milos Raonic,St Petersburg
12,3,15,80.0,9,2,11,81.81818181818181,Alexander Zverev,Alexander Zverev,Felix Auger Aliassime,Cologne 1
8,5,13,61.53846153846154,7,2,9,77.77777777777777,Felix Auger Aliassime,Alexander Zverev,Felix Auger Aliassime,Cologne 1
7,3,10,70.0,7,2,9,77.77777777777777,Laslo Djere,Laslo Djere,Marco Cecchinato,Sardinia
7,3,10,70.0,7,2,9,77.77777777777777,Marco Cecchinato,Laslo Djere,Marco Cecchinato,Sardinia
18,4,22,81.81818181818181,8,2,10,80.0,Andrey Rublev,Andrey Rublev,Borna Coric,St Petersburg
10,4,14,71.42857142857143,9,2,11,81.81818181818181,Borna Coric,Andrey Rublev,Borna Coric,St Petersburg
6,6,12,50.0,2,3,5,40.0,Ugo Humbert,Ugo Humbert,Alex De Minaur,Antwerp
4,4,8,50.0,4,2,6,66.66666666666667,Alex De Minaur,Ugo Humbert,Alex De Minaur,Antwerp
4,5,9,44.44444444444444,4,3,7,57.142857142857146,Alex De Minaur,Alex De Minaur,Grigor Dimitrov,Antwerp
8,4,12,66.66666666666667,2,2,4,50.0,Grigor Dimitrov,Alex De Minaur,Grigor Dimitrov,Antwerp
7,6,13,53.84615384615385,3,3,6,50.0,Ugo Humbert,Ugo Humbert,Daniel Evans,Antwerp
2,6,8,25.0,2,3,5,40.0,Daniel Evans,Ugo Humbert,Daniel Evans,Antwerp
5,5,10,50.0,5,3,8,62.5,Alex De Minaur,Alex De Minaur,Marcos Giron,Antwerp
3,4,7,42.857142857142854,2,3,5,40.0,Marcos Giron,Alex De Minaur,Marcos Giron,Antwerp
8,5,13,61.53846153846154,2,3,5,40.0,Grigor Dimitrov,Grigor Dimitrov,Milos Raonic,Antwerp
10,4,14,71.42857142857143,9,3,12,75.0,Milos Raonic,Grigor Dimitrov,Milos Raonic,Antwerp
2,7,9,22.22222222222222,2,4,6,33.333333333333336,Daniel Evans,Daniel Evans,Karen Khachanov,Antwerp
10,6,16,62.5,6,3,9,66.66666666666667,Karen Khachanov,Daniel Evans,Karen Khachanov,Antwerp
8,6,14,57.142857142857146,4,3,7,57.142857142857146,Ugo Humbert,Ugo Humbert,Lloyd Harris,Antwerp
4,4,8,50.0,3,3,6,50.0,Lloyd Harris,Ugo Humbert,Lloyd Harris,Antwerp
3,5,8,37.5,2,4,6,33.333333333333336,Marcos Giron,Marcos Giron,David Goffin,Antwerp
4,4,8,50.0,4,2,6,66.66666666666667,David Goffin,Marcos Giron,David Goffin,Antwerp
6,5,11,54.54545454545455,6,3,9,66.66666666666667,Alex De Minaur,Alex De Minaur,Feliciano Lopez,Antwerp
2,4,6,33.333333333333336,0,2,2,0.0,Feliciano Lopez,Alex De Minaur,Feliciano Lopez,Antwerp
9,5,14,64.28571428571429,3,3,6,50.0,Grigor Dimitrov,Grigor Dimitrov,Pablo Andujar,Antwerp
1,3,4,25.0,0,1,1,0.0,Pablo Andujar,Grigor Dimitrov,Pablo Andujar,Antwerp
10,5,15,66.66666666666667,9,4,13,69.23076923076923,Milos Raonic,Milos Raonic,Cameron Norrie,Antwerp
4,4,8,50.0,4,3,7,57.142857142857146,Cameron Norrie,Milos Raonic,Cameron Norrie,Antwerp
3,7,10,30.0,3,4,7,42.857142857142854,Daniel Evans,Daniel Evans,Frances Tiafoe,Antwerp
3,4,7,42.857142857142854,3,2,5,60.0,Frances Tiafoe,Daniel Evans,Frances Tiafoe,Antwerp
10,7,17,58.8235294117647,6,4,10,60.0,Karen Khachanov,Karen Khachanov,Zizou Bergs,Antwerp
0,0,0,,0,0,0,,Zizou Bergs,Karen Khachanov,Zizou Bergs,Antwerp
4,5,9,44.44444444444444,3,4,7,42.857142857142854,Lloyd Harris,Lloyd Harris,Taylor Fritz,Antwerp
5,6,11,45.45454545454545,3,3,6,50.0,Taylor Fritz,Lloyd Harris,Taylor Fritz,Antwerp
9,6,15,60.0,5,3,8,62.5,Ugo Humbert,Ugo Humbert,Pablo Carreno Busta,Antwerp
10,4,14,71.42857142857143,6,2,8,75.0,Pablo Carreno Busta,Ugo Humbert,Pablo Carreno Busta,Antwerp
4,5,9,44.44444444444444,3,4,7,42.857142857142854,Marcos Giron,Marcos Giron,Luca Nardi,Antwerp
0,0,0,,0,0,0,,Luca Nardi,Marcos Giron,Luca Nardi,Antwerp
2,5,7,28.571428571428573,0,3,3,0.0,Feliciano Lopez,Feliciano Lopez,Tommy Paul,Antwerp
3,5,8,37.5,0,2,2,0.0,Tommy Paul,Feliciano Lopez,Tommy Paul,Antwerp
7,5,12,58.333333333333336,7,3,10,70.0,Alex De Minaur,Alex De Minaur,Richard Gasquet,Antwerp
2,4,6,33.333333333333336,2,3,5,40.0,Richard Gasquet,Alex De Minaur,Richard Gasquet,Antwerp
1,4,5,20.0,0,2,2,0.0,Pablo Andujar,Pablo Andujar,Federico Coria,Antwerp
4,4,8,50.0,1,1,2,50.0,Federico Coria,Pablo Andujar,Federico Coria,Antwerp
4,5,9,44.44444444444444,4,4,8,50.0,Cameron Norrie,Cameron Norrie,Emil Ruusuvuori,Antwerp
2,5,7,28.571428571428573,2,3,5,40.0,Emil Ruusuvuori,Cameron Norrie,Emil Ruusuvuori,Antwerp
11,5,16,68.75,10,4,14,71.42857142857143,Milos Raonic,Milos Raonic,Aljaz Bedene,Antwerp
4,3,7,57.142857142857146,2,2,4,50.0,Aljaz Bedene,Milos Raonic,Aljaz Bedene,Antwerp
3,5,8,37.5,3,3,6,50.0,Frances Tiafoe,Frances Tiafoe,Dusan Lajovic,Antwerp
5,7,12,41.666666666666664,0,2,2,0.0,Dusan Lajovic,Frances Tiafoe,Dusan Lajovic,Antwerp
4,7,11,36.36363636363637,4,4,8,50.0,Daniel Evans,Daniel Evans,Salvatore Caruso,Antwerp
3,5,8,37.5,2,2,4,50.0,Salvatore Caruso,Daniel Evans,Salvatore Caruso,Antwerp
0,1,1,0.0,0,1,1,0.0,Zizou Bergs,Zizou Bergs,Albert Ramos,Antwerp
2,6,8,25.0,0,1,1,0.0,Albert Ramos,Zizou Bergs,Albert Ramos,Antwerp
5,7,12,41.666666666666664,3,4,7,42.857142857142854,Taylor Fritz,Taylor Fritz,Reilly Opelka,Antwerp
5,4,9,55.55555555555556,5,3,8,62.5,Reilly Opelka,Taylor Fritz,Reilly Opelka,Antwerp
5,5,10,50.0,4,4,8,50.0,Lloyd Harris,Lloyd Harris,Corentin Moutet,Antwerp
3,3,6,50.0,2,1,3,66.66666666666667,Corentin Moutet,Lloyd Harris,Corentin Moutet,Antwerp
10,6,16,62.5,6,3,9,66.66666666666667,Ugo Humbert,Ugo Humbert,Kimmer Coppejans,Antwerp
0,0,0,,0,0,0,,Kimmer Coppejans,Ugo Humbert,Kimmer Coppejans,Antwerp
1,1,2,50.0,1,1,2,50.0,Oscar Otte,Oscar Otte,Dennis Novak,Cologne 2
2,4,6,33.333333333333336,2,2,4,50.0,Dennis Novak,Oscar Otte,Dennis Novak,Cologne 2
7,4,11,63.63636363636363,6,2,8,75.0,Alejandro Davidovich Fokina,Alejandro Davidovich Fokina,Damir Dzumhur,Cologne 2
0,1,1,0.0,0,1,1,0.0,Damir Dzumhur,Alejandro Davidovich Fokina,Damir Dzumhur,Cologne 2
2,3,5,40.0,2,2,4,50.0,Steve Johnson,Steve Johnson,Marin Cilic,Cologne 2
5,5,10,50.0,3,3,6,50.0,Marin Cilic,Steve Johnson,Marin Cilic,Cologne 2
1,3,4,25.0,1,2,3,33.333333333333336,Egor Gerasimov,Egor Gerasimov,Daniel Altmaier,Cologne 2
3,2,5,60.0,0,1,1,0.0,Daniel Altmaier,Egor Gerasimov,Daniel Altmaier,Cologne 2
2,5,7,28.571428571428573,0,1,1,0.0,Yoshihito Nishioka,Yoshihito Nishioka,Kyle Edmund,Cologne 2
1,4,5,20.0,1,3,4,25.0,Kyle Edmund,Yoshihito Nishioka,Kyle Edmund,Cologne 2
